Dataset Name,Observation Date,Series Key,Series Display Name,Observation Value,Unit,Observation Status,Observation Status Comment,Sequence No.,Series name
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),8352.130463,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),14502.9,Million USD,Normal,,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),14635.62719,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),140.8895421,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),14361.9898,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),59.19705581,Million USD,Normal,,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.161986127,Million USD,Normal,,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4671.084462,Million USD,Normal,,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2078.843684,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),7018.407093,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-52.94611493,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),2.916664681,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),2347.322631,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),14.83876353,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-25,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2527.372564,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),7964.453362,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),14174.6,Million USD,Normal,,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),14278.48975,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),24.65093194,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),14149.96926,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),30.31760948,Million USD,Normal,,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.163150115,Million USD,Normal,,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-25,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4729.65922,Million USD,Normal,,10,Net Reserves With Banks
